PROSOFT : ProSoft 7.4
CRUISE-ID : Mc472
OPERATOR : Enzo Fab
LATITUDE : Missing
LONGITUDE : Missing
ZONE : Missing
COMMENT : 2/8
STATION-ID : Mc472
CAST : A
TIME-STAMP : Tue Feb 27 12:02:11 2001
MODE : NONE
PRESSURE-TARE : 0.000000
TIMETAG : OFF
PROCESSING_LEVEL : 4
FILE_CREATION_TIME : 17-Jul-2003 15:43:49
DEGLITCH_PRODAT : OFF
DEGLITCH_REFDAT : OFF
PRES_TARE_CORRECTED : -0.28304
BIN_INTERVAL : 1m
BIN_WIDTH : 0.5m
TIME_INTERVAL : 2sec
TIME_WIDTH : 1sec
WAVEL_INTERP : 0nm
INTEGRATION_POINTS : 5
REFLECTION_ALBEDO : 0.043
REFLECTANCE_INDEX : 0.021
REFRACTIVE_INDEX : 1.345

Level 4 Product: K Values
K_Lu	K_Lu	K_Lu	K_Lu	K_Lu	K_Lu	K_Lu	K_Lu	K_Lu	K_Lu	K_Lu	K_Lu	K_Lu	K_Lu	
0.49481365	0.64074861	0.81903268	1.05226921	1.16835828	0.91763169	0.65161960	0.47375293	0.18710042	0.05664335	0.02077298	0.01883178	0.01721405	

Level 4 Product: Surface Optical Data
Ed(0-)	Ed(0-)	Ed(0-)	Ed(0-)	Ed(0-)	Ed(0-)	Ed(0-)	Ed(0-)	Ed(0-)	Ed(0-)	Ed(0-)	Ed(0-)	Ed(0-)	
399.8	411.5	442.6	469.8	490.9	509.6	531.5	554.9	589.4	619.4	665.7	682.5	700.2	
67.74351264	88.41427846	86.33325823	93.59696000	96.44194331	93.33414777	94.34072048	91.68007942	77.47176845	69.98925110	58.52735147	47.45678978	24.06101534	

Level 4 Product: Surface Remote Sensing Reflectances
RSR-Lu(0+)/Ed(0+)	RSR-Lu(0+)/Ed(0+)	RSR-Lu(0+)/Ed(0+)	RSR-Lu(0+)/Ed(0+)	RSR-Lu(0+)/Ed(0+)	RSR-Lu(0+)/Ed(0+)	RSR-Lu(0+)/Ed(0+)	RSR-Lu(0+)/Ed(0+)	RSR-Lu(0+)/Ed(0+)	RSR-Lu(0+)/Ed(0+)	RSR-Lu(0+)/Ed(0+)	RSR-Lu(0+)/Ed(0+)	RSR-Lu(0+)/Ed(0+)	
399.8	411.85	442.3	469.95	490.65	509.7	531.6	554.7	589.8	619.2	665.65	682.9	700.3	
0.00378990	0.00376027	0.00492240	0.00583336	0.00628585	0.00510131	0.00358384	0.00268121	0.00125310	0.00041992	0.00018416	0.00020590	0.00037121	

Level 4 Product: Photosynthetically Available Radiation
Profiler PAR	Profiler PAR	Profiler PAR	
Depth	Profiler Par	% Par (0+)	
4.00000000	33586501005554984.00000000	59.63555876	
5.00000000	34830577211698916.00000000	61.84451705	
6.00000000	27448934964653040.00000000	48.73781207	
7.00000000	23740193362166848.00000000	42.15264031	
8.00000000	23732060247288320.00000000	42.13819931	
9.00000000	19153957607733528.00000000	34.00940646	
10.00000000	17166344434455740.00000000	30.48023794	
11.00000000	16134219249938428.00000000	28.64761590	
12.00000000	14170253700071858.00000000	25.16043565	
13.00000000	13083145657802822.00000000	23.23018708	
14.00000000	11839907030218280.00000000	21.02271598	
15.00000000	11343263504591520.00000000	20.14088509	
16.00000000	9852823255461704.00000000	17.49448745	
17.00000000	8795171179002258.00000000	15.61654033	
18.00000000	8286363878995836.00000000	14.71311167	
19.00000000	7549498604192314.00000000	13.40474757	
20.00000000	6773748603539658.00000000	12.02734047	
21.00000000	6541566534949037.00000000	11.61508236	
22.00000000	5704001344430382.00000000	10.12791738	
23.00000000	5231750782474778.00000000	9.28939818	
24.00000000	4779588054295193.00000000	8.48654655	
25.00000000	4337172883560511.50000000	7.70100250	
26.00000000	4083294157083111.00000000	7.25022022	
27.00000000	3660888164926630.00000000	6.50020409	
28.00000000	3405189294651891.00000000	6.04618999	
29.00000000	3092107164386958.50000000	5.49028726	
30.00000000	2769911412567914.50000000	4.91820255	
31.00000000	2571034423157239.00000000	4.56508031	
32.00000000	2350431217753365.50000000	4.17338141	
33.00000000	2167958813459965.00000000	3.84938685	
34.00000000	1983986074751923.50000000	3.52272832	
35.00000000	1814165412145841.50000000	3.22119795	
36.00000000	1667878587837410.50000000	2.96145381	
37.00000000	1509679429552584.70000000	2.68055837	
38.00000000	1406281510722703.70000000	2.49696697	
