PROSOFT : ProSoft 7.4
CRUISE-ID : Mc472
OPERATOR : Enzo Fab
LATITUDE : Missing
LONGITUDE : Missing
ZONE : Missing
COMMENT : 2/8
STATION-ID : Mc472
CAST : A
TIME-STAMP : Tue Feb 27 12:02:11 2001
MODE : NONE
PRESSURE-TARE : 0.000000
TIMETAG : OFF
PROCESSING_LEVEL : 3a
FILE_CREATION_TIME : 17-Jul-2003 15:43:40
DEGLITCH_PRODAT : OFF
DEGLITCH_REFDAT : OFF
PRES_TARE_CORRECTED : -0.28304
BIN_INTERVAL : 1m
BIN_WIDTH : 0.5m
TIME_INTERVAL : 2sec
TIME_WIDTH : 1sec
WAVEL_INTERP : 0nm

Lu	Lu	Lu	Lu	Lu	Lu	Lu	Lu	Lu	Lu	Lu	Lu	Lu	Lu	Lu	Lu	Ed	Ed	Ed	Ed	Ed	Ed	Ed	Ed	Ed	Ed	Ed	Ed	Ed	Ed	Ed	Ed	
#Datetag	Timetag2	Depth	399.8	412.2	442.0	470.1	490.4	509.8	531.7	554.5	590.2	619.0	665.6	683.3	700.4	Datetag	Timetag2	Depth	399.8	411.5	442.6	469.8	490.9	509.6	531.5	554.9	589.4	619.4	665.7	682.5	700.2	
    02001058	   120244308	    00000033	8.23075717e-003	1.38824576e-002	3.50501078e-002	7.05977240e-002	9.15318968e-002	5.57709399e-002	3.34845600e-002	1.75252329e-002	2.15641212e-003	4.83703231e-004	4.37887332e-004	9.71818521e-004	8.01837611e-004	    02001058	   120245738	    00000033	1.44640374e+000	2.15464777e+000	4.44634392e+000	7.65335858e+000	9.33044774e+000	6.39141465e+000	4.63845539e+000	2.90926578e+000	2.06523027e-001	9.30729515e-003	3.22895133e-003	2.10654123e-002	2.18857510e-002	
    02001058	   120245569	    00000034	7.28792673e-003	1.23833709e-002	3.18490822e-002	6.49917899e-002	8.48234859e-002	5.14060327e-002	3.06069327e-002	1.59166853e-002	1.94718828e-003	4.43794174e-004	3.99295611e-004	8.76108423e-004	7.33475221e-004	    02001058	   120246907	    00000034	1.28521128e+000	1.92771544e+000	4.05315613e+000	7.04822652e+000	8.64093163e+000	5.86801448e+000	4.23307883e+000	2.62253966e+000	1.76645759e-001	8.38636964e-003	2.96273292e-003	1.93076749e-002	2.00979501e-002	
    02001058	   120246720	    00000035	6.43640808e-003	1.10228298e-002	2.89792890e-002	5.99888696e-002	7.88954091e-002	4.75258764e-002	2.80371243e-002	1.44547547e-002	1.75940745e-003	4.07176136e-004	3.62966609e-004	7.91580299e-004	6.70491032e-004	    02001058	   120248696	    00000035	1.12601961e+000	1.70586105e+000	3.68547179e+000	6.54220933e+000	8.02958400e+000	5.37965030e+000	3.84150500e+000	2.33826347e+000	1.45509543e-001	7.49167921e-003	2.72241314e-003	1.76098230e-002	1.83610391e-002	
    02001058	   120248457	    00000036	5.66791928e-003	9.79073318e-003	2.64006365e-002	5.56091140e-002	7.37133184e-002	4.41095980e-002	2.57255433e-002	1.31215065e-002	1.58303001e-003	3.73008062e-004	3.30335170e-004	7.14964761e-004	6.13847907e-004	    02001058	   120250729	    00000036	9.86510637e-001	1.53036712e+000	3.37624887e+000	6.07274336e+000	7.45895508e+000	4.94483233e+000	3.52067868e+000	2.11919481e+000	1.24607632e-001	6.81656815e-003	2.50824842e-003	1.61679857e-002	1.68873826e-002	
    02001058	   120250220	    00000037	5.00897285e-003	8.72866602e-003	2.40421326e-002	5.13214095e-002	6.85048809e-002	4.07830519e-002	2.36005066e-002	1.19502934e-002	1.43892577e-003	3.41986523e-004	3.01811664e-004	6.49430386e-004	5.61734039e-004	    02001058	   120252554	    00000037	8.52641830e-001	1.35723464e+000	3.04524169e+000	5.53804487e+000	6.82239671e+000	4.47317524e+000	3.17857666e+000	1.89112185e+000	1.06382637e-001	6.10885084e-003	2.26876222e-003	1.45547397e-002	1.51638795e-002	
    02001058	   120252400	    00000038	4.36856205e-003	7.66821030e-003	2.15192800e-002	4.65733256e-002	6.26292622e-002	3.70783488e-002	2.12584006e-002	1.06842785e-002	1.28339840e-003	3.07662525e-004	2.70385133e-004	5.78252698e-004	5.06156127e-004	    02001058	   120254215	    00000038	7.57726308e-001	1.21550064e+000	2.80937997e+000	5.20215966e+000	6.46185516e+000	4.18640603e+000	2.94784699e+000	1.72725659e+000	9.05520526e-002	5.61337565e-003	2.09408662e-003	1.35004751e-002	1.40982894e-002	
    02001058	   120254006	    00000039	3.84347641e-003	6.81822915e-003	1.96500258e-002	4.32687096e-002	5.86911091e-002	3.45251948e-002	1.96101948e-002	9.76543640e-003	1.16711071e-003	2.84523775e-004	2.49168489e-004	5.31908868e-004	4.66186185e-004	    02001058	   120255560	    00000039	6.59933289e-001	1.06591694e+000	2.52408758e+000	4.74394867e+000	5.93097150e+000	3.80086983e+000	2.64836157e+000	1.52929433e+000	7.49354497e-002	5.04889913e-003	1.91373146e-003	1.22225872e-002	1.27927000e-002	
    02001058	   120255381	    00000040	3.34923101e-003	5.99613578e-003	1.77354539e-002	3.96785499e-002	5.42833915e-002	3.17322388e-002	1.78489255e-002	8.80097324e-003	1.05105560e-003	2.59974741e-004	2.25716357e-004	4.82660446e-004	4.26868375e-004	    02001058	   120256829	    00000040	5.85140700e-001	9.45063552e-001	2.29810372e+000	4.36792799e+000	5.48288607e+000	3.48658085e+000	2.41571461e+000	1.38238230e+000	6.50496159e-002	4.59500387e-003	1.77621294e-003	1.11624726e-002	1.17321361e-002	
    02001058	   120256643	    00000041	2.94097662e-003	5.30367800e-003	1.59969362e-002	3.62623351e-002	4.99827138e-002	2.90914148e-002	1.62390561e-002	7.95905773e-003	9.44225734e-004	2.34940028e-004	2.05835996e-004	4.37201142e-004	3.89958042e-004	    02001058	   120258040	    00000041	5.19050957e-001	8.27565489e-001	2.08610653e+000	4.00989997e+000	5.06077371e+000	3.19305859e+000	2.19887290e+000	1.24680060e+000	5.67031849e-002	4.17737951e-003	1.60683059e-003	1.01756003e-002	1.06920248e-002	
    02001058	   120257866	    00000042	2.59229424e-003	4.71525992e-003	1.45037328e-002	3.33565504e-002	4.63275202e-002	2.68533502e-002	1.48824664e-002	7.25729422e-003	8.59509530e-004	2.13879709e-004	1.87906136e-004	3.98822729e-004	3.59535117e-004	    02001058	   120259161	    00000042	4.58834942e-001	7.34107316e-001	1.89850191e+000	3.70202263e+000	4.70731787e+000	2.94223799e+000	2.00902313e+000	1.12498709e+000	4.87633580e-002	3.81112982e-003	1.49385782e-003	9.33696476e-003	9.85827736e-003	
    02001058	   120258999	    00000043	2.27277717e-003	4.17626304e-003	1.31639350e-002	3.07733723e-002	4.30975321e-002	2.48635659e-002	1.36653487e-002	6.62064265e-003	7.83001179e-004	1.96002436e-004	1.73716131e-004	3.67213647e-004	3.31820159e-004	    02001058	   120300342	    00000043	4.03060338e-001	6.49982251e-001	1.72876074e+000	3.42782586e+000	4.38861939e+000	2.71313314e+000	1.83566241e+000	1.00639556e+000	4.13343936e-002	3.52171548e-003	1.39270470e-003	8.59313323e-003	9.08478823e-003	
    02001058	   120300147	    00000044	1.98527792e-003	3.67682001e-003	1.19119781e-002	2.83349659e-002	4.00700375e-002	2.29921753e-002	1.25191553e-002	6.00948651e-003	7.11893974e-004	1.79038098e-004	1.58725276e-004	3.36999106e-004	3.06843281e-004	    02001058	   120301491	    00000044	3.50116421e-001	5.68225092e-001	1.55234766e+000	3.12694547e+000	4.03163232e+000	2.46624320e+000	1.65154879e+000	8.81107555e-001	3.46455344e-002	3.12626106e-003	1.27258314e-003	7.78353913e-003	8.25589138e-003	
    02001058	   120301329	    00000045	1.71066637e-003	3.20961780e-003	1.06705111e-002	2.58388797e-002	3.68846597e-002	2.10363941e-002	1.13364360e-002	5.39400038e-003	6.37761948e-004	1.62083015e-004	1.44642004e-004	3.04784217e-004	2.80218572e-004	    02001058	   120302710	    00000045	3.05800776e-001	5.00168492e-001	1.39526499e+000	2.84402190e+000	3.68839722e+000	2.23705137e+000	1.48886032e+000	7.82447893e-001	2.96759837e-002	2.82302229e-003	1.16662597e-003	7.07222299e-003	7.49486266e-003	
    02001058	   120302517	    00000046	1.48928225e-003	2.82627357e-003	9.61469953e-003	2.36548581e-002	3.40762965e-002	1.93595800e-002	1.03371156e-002	4.89456999e-003	5.78382333e-004	1.45894193e-004	1.31374106e-004	2.79179265e-004	2.57706320e-004	    02001058	   120303978	    00000046	2.73120666e-001	4.49868186e-001	1.28132722e+000	2.64383989e+000	3.44852405e+000	2.07710120e+000	1.37570152e+000	7.15846072e-001	2.64060702e-002	2.60726469e-003	1.10441792e-003	6.52907390e-003	6.93754550e-003	
