,0,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75
662.5,1.2230700E+00,1.1375400E-01,1.0416600E-02,1.0195900E-03,1.4813600E-04,5.1729500E-05,3.0941700E-05,2.0821200E-05,1.4248800E-05,1.0273500E-05,7.6153200E-06,5.6844700E-06,4.2642500E-06,3.2134800E-06,2.4322700E-06,1.8488000E-06
667.5,1.2169900E+00,1.0374800E-01,8.8040200E-03,8.6575900E-04,1.6626200E-04,7.7854400E-05,4.9850900E-05,3.3487800E-05,2.2545800E-05,1.6446000E-05,1.2496200E-05,9.5706400E-06,7.3660000E-06,5.6931900E-06,4.4170800E-06,3.4388800E-06
672.5,1.2015300E+00,9.7008700E-02,7.9504000E-03,8.5965000E-04,2.2914000E-04,1.2716600E-04,8.3562700E-05,5.6005300E-05,3.7397400E-05,2.7509200E-05,2.1216100E-05,1.6485800E-05,1.2863100E-05,1.0070200E-05,7.9067500E-06,6.2239600E-06
677.5,1.1932300E+00,9.0249500E-02,7.0812200E-03,8.3778400E-04,2.7786900E-04,1.6612800E-04,1.1010800E-04,7.3628900E-05,4.8934800E-05,3.6125700E-05,2.8023500E-05,2.1892400E-05,1.7165900E-05,1.3499600E-05,1.0643200E-05,8.4093900E-06
682.5,1.1775600E+00,8.1225000E-02,5.8732300E-03,6.9477700E-04,2.5048900E-04,1.5353400E-04,1.0171000E-04,6.7667200E-05,4.4677900E-05,3.2968200E-05,2.5588000E-05,1.9998000E-05,1.5687800E-05,1.2343500E-05,9.7370000E-06,7.6976400E-06
687.5,1.0324000E+00,6.2817100E-02,3.9988200E-03,4.3176700E-04,1.5651300E-04,9.6411600E-05,6.3493200E-05,4.1879900E-05,2.7383400E-05,2.0094500E-05,1.5513200E-05,1.2066100E-05,9.4269900E-06,7.3922800E-06,5.8149600E-06,4.5865000E-06
692.5,1.0429900E+00,5.2443400E-02,2.7210900E-03,2.3536100E-04,7.9355300E-05,4.8664100E-05,3.1842600E-05,2.0844000E-05,1.3529800E-05,9.8200600E-06,7.4772800E-06,5.7440800E-06,4.4401700E-06,3.4504800E-06,2.6936600E-06,2.1111200E-06
697.5,1.0744800E+00,4.0452900E-02,1.5654500E-03,1.0857700E-04,3.7426900E-05,2.3211100E-05,1.5072900E-05,9.7790900E-06,6.3039400E-06,4.4802600E-06,3.3201700E-06,2.4885300E-06,1.8825800E-06,1.4359400E-06,1.1032600E-06,8.5307200E-07
702.5,1.0552700E+00,2.6838100E-02,7.1224900E-04,4.5631400E-05,1.9109200E-05,1.2048000E-05,7.7410100E-06,4.9725800E-06,3.1873600E-06,2.1982800E-06,1.5672400E-06,1.1330000E-06,8.2952900E-07,6.1457500E-07,4.6030000E-07,3.4817600E-07
707.5,1.0830000E+00,1.5921900E-02,2.5701100E-04,2.0438300E-05,1.0822000E-05,6.7795700E-06,4.2691300E-06,2.6960200E-06,1.7082300E-06,1.1341700E-06,7.7162100E-07,5.3303700E-07,3.7384800E-07,2.6615900E-07,1.9226800E-07,1.4083200E-07
712.5,1.0753100E+00,6.9862800E-03,6.2990700E-05,1.1427100E-05,6.8047900E-06,4.1542600E-06,2.5462500E-06,1.5707200E-06,9.7667300E-07,6.2783600E-07,4.1202200E-07,2.7488500E-07,1.8656300E-07,1.2885400E-07,9.0566800E-08,6.4758900E-08
717.5,8.8978100E-01,1.9556400E-03,1.7095300E-05,7.6158300E-06,4.4862000E-06,2.6532500E-06,1.5807300E-06,9.5133100E-07,5.7928100E-07,3.6576800E-07,2.3657500E-07,1.5623100E-07,1.0542400E-07,7.2692300E-08,5.1191200E-08,3.6779600E-08
722.5,8.8922100E-01,5.4281700E-04,9.4158900E-06,5.1477300E-06,2.9168200E-06,1.6658800E-06,9.6332400E-07,5.6553300E-07,3.3747500E-07,2.1107700E-07,1.3621200E-07,9.0361200E-08,6.1621700E-08,4.3142200E-08,3.0944500E-08,2.2678900E-08
727.5,8.7270600E-01,1.2385200E-04,6.3218000E-06,3.3819500E-06,1.8291800E-06,1.0046400E-06,5.6290400E-07,3.2258400E-07,1.8921000E-07,1.1821400E-07,7.6958000E-08,5.1923000E-08,3.6219100E-08,2.6018300E-08,1.9161400E-08,1.4401300E-08
732.5,9.4788700E-01,3.0436300E-05,4.3025400E-06,2.1669700E-06,1.1131000E-06,5.8709200E-07,3.1947600E-07,1.7976000E-07,1.0453700E-07,6.6187600E-08,4.4135100E-08,3.0700800E-08,2.2130000E-08,1.6410900E-08,1.2436800E-08,9.5782200E-09
737.5,9.9459700E-01,1.1317900E-05,2.9764800E-06,1.3951600E-06,6.7785700E-07,3.4387900E-07,1.8302400E-07,1.0230400E-07,5.9852400E-08,3.9134900E-08,2.7155300E-08,1.9673100E-08,1.4714600E-08,1.1256700E-08,8.7455200E-09,6.8655400E-09
742.5,1.0175000E+00,7.2557500E-06,2.1616700E-06,9.3576300E-07,4.3015100E-07,2.1173700E-07,1.1200300E-07,6.3443900E-08,3.8076700E-08,2.6126600E-08,1.8996600E-08,1.4316000E-08,1.1041200E-08,8.6402300E-09,6.8224900E-09,5.4170800E-09
747.5,1.0317600E+00,6.0398000E-06,1.6336500E-06,6.4881500E-07,2.8324400E-07,1.3733600E-07,7.3801800E-08,4.3279800E-08,2.7051500E-08,1.9564300E-08,1.4833900E-08,1.1520100E-08,9.0689000E-09,7.1937100E-09,5.7305600E-09,4.5758200E-09
752.5,1.0237500E+00,5.1986400E-06,1.2479300E-06,4.5334100E-07,1.8962200E-07,9.2519500E-08,5.1699500E-08,3.1846100E-08,2.0796000E-08,1.5699000E-08,1.2245600E-08,9.6779300E-09,7.6988600E-09,6.1446400E-09,4.9122100E-09,3.9301300E-09
757.5,8.9208300E-01,4.2717100E-06,9.6722700E-07,3.2305900E-07,1.3119800E-07,6.5634600E-08,3.8545700E-08,2.4881600E-08,1.6807100E-08,1.3037000E-08,1.0327600E-08,8.2309700E-09,6.5769600E-09,5.2611000E-09,4.2103200E-09,3.3699200E-09
762.5,4.7245700E-01,3.3992600E-06,7.8657900E-07,2.4449900E-07,9.7484300E-08,5.0324800E-08,3.0886300E-08,2.0618600E-08,1.4214500E-08,1.1179000E-08,8.9159600E-09,7.1280000E-09,5.7030000E-09,4.5637600E-09,3.6520700E-09,2.9223600E-09
767.5,8.4777900E-01,3.6582800E-06,6.8243600E-07,2.0132400E-07,7.9328600E-08,4.1884900E-08,2.6393100E-08,1.7922500E-08,1.2465200E-08,9.8524700E-09,7.8736600E-09,6.2982900E-09,5.0388500E-09,4.0309500E-09,3.2243200E-09,2.5788700E-09
772.5,9.7118200E-01,4.0134500E-06,6.2287300E-07,1.7694100E-07,6.8878800E-08,3.6722100E-08,2.3417400E-08,1.6011800E-08,1.1168600E-08,8.8371200E-09,7.0628500E-09,5.6476400E-09,4.5159600E-09,3.6106500E-09,2.8865500E-09,2.3075500E-09
777.5,9.7338800E-01,4.6625300E-06,5.8833200E-07,1.6233700E-07,6.2282400E-08,3.3201900E-08,2.1240600E-08,1.4549000E-08,1.0151400E-08,8.0286600E-09,6.4132800E-09,5.1250200E-09,4.0954900E-09,3.2725500E-09,2.6148200E-09,2.0892800E-09
782.5,9.6714800E-01,6.0461500E-06,5.6598700E-07,1.5210100E-07,5.7446400E-08,3.0517200E-08,1.9532700E-08,1.3382900E-08,9.3344100E-09,7.3759200E-09,5.8879200E-09,4.7020600E-09,3.7551600E-09,2.9988600E-09,2.3949000E-09,1.9126500E-09
787.5,9.3666800E-01,8.3616500E-06,5.4702000E-07,1.4323100E-07,5.3269300E-08,2.8199800E-08,1.8054900E-08,1.2372100E-08,8.6259700E-09,6.8094700E-09,5.4320700E-09,4.3351800E-09,3.4600600E-09,2.7616900E-09,2.2043800E-09,1.7597100E-09
792.5,9.0600200E-01,1.0963500E-05,5.2201400E-07,1.3311300E-07,4.8818900E-08,2.5799900E-08,1.6538400E-08,1.1338600E-08,7.9037400E-09,6.2339500E-09,4.9697600E-09,3.9637200E-09,3.1617300E-09,2.5222300E-09,2.0122900E-09,1.6056700E-09
797.5,9.0146300E-01,1.3162000E-05,4.8879800E-07,1.2134200E-07,4.3989400E-08,2.3269800E-08,1.4953600E-08,1.0262000E-08,7.1533400E-09,5.6381500E-09,4.4919800E-09,3.5804500E-09,2.8543800E-09,2.2758400E-09,1.8148600E-09,1.4475100E-09
802.5,8.8368300E-01,1.4527300E-05,4.5173900E-07,1.0911500E-07,3.9194600E-08,2.0807500E-08,1.3420000E-08,9.2221500E-09,6.4296800E-09,5.0647900E-09,4.0327000E-09,3.2123900E-09,2.5594900E-09,2.0396600E-09,1.6257400E-09,1.2961100E-09
807.5,8.8511100E-01,1.3693100E-05,4.0738200E-07,9.5769800E-08,3.4183200E-08,1.8258100E-08,1.1829800E-08,8.1427700E-09,5.6788200E-09,4.4714400E-09,3.5580400E-09,2.8325500E-09,2.2555400E-09,1.7964900E-09,1.4312200E-09,1.1405200E-09
812.5,8.0482500E-01,8.0915700E-06,3.4878200E-07,7.9918700E-08,2.8474600E-08,1.5354100E-08,1.0005200E-08,6.9000500E-09,4.8138800E-09,3.7901700E-09,3.0140500E-09,2.3979700E-09,1.9083600E-09,1.5191400E-09,1.2096600E-09,9.6353300E-10
