PROSOFT : ProSoft 7.6
CRUISE-ID : EMTEC
STATION-ID : Missing
OPERATOR : Unknown
LATITUDE : Missing
LONGITUDE : Missing
PRESSURE-TARE : 0.000000
CAST : A
PROFILER : WET
REFERENCE : WET
TIME-STAMP : Thu Apr 29 14:01:40 1999
PRO-DARK : OFF
REF-DARK : OFF
COMMENT : Missing
PROCESSING_LEVEL : 4
FILE_CREATION_TIME : 10-Feb-2004 10:39:53
DEGLITCH_PRODAT : ON
PRO_NOISE_THRESH : 5
UPPER_PRES_LEVEL : 30
LOWER_PRES_LEVEL : 200
DEGLITCH_REFDAT : OFF
PRES_TARE_CORRECTED : 0
DEPTH_RESOLUTION : 0.1m
BIN_INTERVAL : 1m
BIN_WIDTH : 0.5m
TIME_INTERVAL : 2sec
TIME_WIDTH : 1sec
WAVEL_INTERP : 0nm
INTEGRATION_POINTS : 5
REFLECTION_ALBEDO : 0.043
REFLECTANCE_INDEX : 0.021
REFRACTIVE_INDEX : 1.345

Level 4 Product: K Values													
K_Lu	K_Lu	K_Lu	K_Lu	K_Lu	K_Lu	K_Lu	K_Lu	K_Lu	K_Lu	K_Lu	K_Lu	K_Lu	K_Lu
69	0.09661823	0.09122403	0.07523384	0.06601985	0.0614832	0.06724202	0.07545714	0.0738292	0.06317059	0.06751337	0.03358894	0.01269891	0.03362603
70	0.09550178	0.09022076	0.07410568	0.06490748	0.06050123	0.06654191	0.07488007	0.0730071	0.06384746	0.06774652	0.04429892	0.03080407	0.04362145
71	0.0939496	0.08876541	0.07269349	0.06353497	0.05932141	0.06536175	0.07381405	0.07183776	0.06411863	0.06746722	0.05457856	0.04788129	0.05637925
72	0.09292209	0.08789082	0.07206642	0.06306044	0.05900328	0.06511409	0.07375965	0.07201894	0.06451067	0.06697577	0.06169359	0.05835788	0.06354019
73	0.09208266	0.08703668	0.07139399	0.06249454	0.05846204	0.0645218	0.07317297	0.0711238	0.06458104	0.06587189	0.06244891	0.06072025	0.06376545
74	0.09092582	0.08586334	0.07025246	0.06145823	0.05751412	0.0635736	0.07231196	0.07041242	0.06185357	0.06529209	0.06311597	0.06208795	0.06452321
75	0.0914235	0.08638242	0.07075196	0.06191595	0.05820825	0.06456047	0.07355127	0.071133	0.06332275	0.06703687	0.06496354	0.06458924	0.06874503
76	0.09166521	0.0865718	0.07098003	0.06220735	0.05864749	0.06520344	0.07463916	0.07217499	0.06475295	0.0690633	0.06621204	0.06568121	0.06977794
77	0.09162206	0.08658255	0.07083576	0.06215038	0.05864305	0.06528003	0.07515829	0.07263698	0.06538795	0.07112379	0.06765049	0.06513063	0.06964397
78	0.09168004	0.08646089	0.07046862	0.06179279	0.05834544	0.06502288	0.07489189	0.07203981	0.06539514	0.07359913	0.06830025	0.06612064	0.06793987
