PROSOFT : ProSoft 7.6
CRUISE-ID : EMTEC
STATION-ID : I1B-123
OPERATOR : Unknown
LATITUDE : 38 30.21 N
LONGITUDE : 17 59.95 E
PRESSURE-TARE : 0.000000
CAST : B
PROFILER : WET
REFERENCE : WET
TIME-STAMP : Wed May 05 11:18:23 1999
PRO-DARK : OFF
REF-DARK : OFF
COMMENT : 11:15
PROCESSING_LEVEL : 4
FILE_CREATION_TIME : 10-Feb-2004 10:44:09
DEGLITCH_PRODAT : ON
PRO_NOISE_THRESH : 5
UPPER_PRES_LEVEL : 30
LOWER_PRES_LEVEL : 200
DEGLITCH_REFDAT : OFF
PRES_TARE_CORRECTED : 0
DEPTH_RESOLUTION : 0.1m
BIN_INTERVAL : 1m
BIN_WIDTH : 0.5m
TIME_INTERVAL : 2sec
TIME_WIDTH : 1sec
WAVEL_INTERP : 0nm
INTEGRATION_POINTS : 5
REFLECTION_ALBEDO : 0.043
REFLECTANCE_INDEX : 0.021
REFRACTIVE_INDEX : 1.345

Level 4 Product: K Values
K_Lu	K_Lu	K_Lu	K_Lu	K_Lu	K_Lu	K_Lu	K_Lu	K_Lu	K_Lu	K_Lu	K_Lu	K_Lu	K_Lu	
#Depth	399.8	412.2	442.0	470.1	490.4	509.8	531.7	554.5	590.2	619.0	665.6	683.3	700.4	
6.00000000	0.04751053	0.04294453	0.03049350	0.02655300	0.02291459	0.03941392	0.05425862	0.06462472	0.14280368	0.28919722	0.41194218	0.42378673	0.57710276
7.00000000	0.06931960	0.06276371	0.05685318	0.05515147	0.05732103	0.07596598	0.08380084	0.10015936	0.18380285	0.33123911	0.46331021	0.46078595	0.54202971
8.00000000	0.06049548	0.05677715	0.05023717	0.04930149	0.04886189	0.06108346	0.07003585	0.08739032	0.16632153	0.32936969	0.46697860	0.43480997	0.43437630
9.00000000	0.05984351	0.05163713	0.04567493	0.04162701	0.04749078	0.06243552	0.07198065	0.08963438	0.17433277	0.33647303	0.47649701	0.42272492	0.34974269
10.00000000	0.04361679	0.03841057	0.02850124	0.02500710	0.02643513	0.03909297	0.04915308	0.06504305	0.14469748	0.30352087	0.42835390	0.34747797	0.21722171
11.00000000	0.02435377	0.01920851	0.00599966	0.00093485	0.00025253	0.01177114	0.02169011	0.03539384	0.10976385	0.25776933	0.37138658	0.26382725	0.12969698
12.00000000	0.06160225	0.05694211	0.04917827	0.04677323	0.04754757	0.06225374	0.07251863	0.08792638	0.16303819	0.30434172	0.41855155	0.27939919	0.12991382
13.00000000	0.05338379	0.04905931	0.03942159	0.03645092	0.03591440	0.04902798	0.05860721	0.07364008	0.14676189	0.28850144	0.40433838	0.23080055	0.08696750
14.00000000	0.04699416	0.04248291	0.03180861	0.02845688	0.02849263	0.04210471	0.05247915	0.06822996	0.14523913	0.29047763	0.41147310	0.19718662	0.06574150
15.00000000	0.05752520	0.05228862	0.04358328	0.04043420	0.03979599	0.05542976	0.06646525	0.08268978	0.16081503	0.29764497	0.40826310	0.17161287	0.06420496
16.00000000	0.05103886	0.04647174	0.03513518	0.03149037	0.03180884	0.04595633	0.05712702	0.07299072	0.15028668	0.27081655	0.36931472	0.12765645	0.05406608
17.00000000	0.04946552	0.04370932	0.03257623	0.02798167	0.02763247	0.04211943	0.05251330	0.06731346	0.14113203	0.25444091	0.32537739	0.09729434	0.04426868
18.00000000	0.06427218	0.05914766	0.04898625	0.04524256	0.04456623	0.05946873	0.07083065	0.08575311	0.15758937	0.26327266	0.29792728	0.09317384	0.05771498
19.00000000	0.06743791	0.06370249	0.05250162	0.04951530	0.04971310	0.06395413	0.07646950	0.09301568	0.16897641	0.28136478	0.28187722	0.08873345	0.06437212
20.00000000	0.06064787	0.05475529	0.04291976	0.03813548	0.03725609	0.05215950	0.06298332	0.07919470	0.15533645	0.25937827	0.23474681	0.06817950	0.04908669
21.00000000	0.07515740	0.07052021	0.05880419	0.05500610	0.05545050	0.06974086	0.08098966	0.09779859	0.17213895	0.25014973	0.20893596	0.07883079	0.06800379
22.00000000	0.05766090	0.05126632	0.03613142	0.02926322	0.02772494	0.03958498	0.04784171	0.06145562	0.12731110	0.18891069	0.13426469	0.04510520	0.03918229
23.00000000	0.07956550	0.07349275	0.06003225	0.05400655	0.05249028	0.06560760	0.07496691	0.08950165	0.15606330	0.19465710	0.11818644	0.06395115	0.06140116
24.00000000	0.08354474	0.07810155	0.06287528	0.05658127	0.05487475	0.06768771	0.07819921	0.09383639	0.16517503	0.19317813	0.09925850	0.06439190	0.06542626
25.00000000	0.07348145	0.06675099	0.04950929	0.04136564	0.03855343	0.05111120	0.06071731	0.07599269	0.14886648	0.16611489	0.07039388	0.04762843	0.04900119
26.00000000	0.08591221	0.07997671	0.06453791	0.05744056	0.05506211	0.06777467	0.07775519	0.09302741	0.16209123	0.16265987	0.07083505	0.06206753	0.06425267
27.00000000	0.08828536	0.08261755	0.06698265	0.05961128	0.05682786	0.06802535	0.07697479	0.09040430	0.15116112	0.13783439	0.05860873	0.06195670	0.06537111
28.00000000	0.09565410	0.09025962	0.07494295	0.06785598	0.06532590	0.07697759	0.08655731	0.10104442	0.16234448	0.13431287	0.05782206	0.06894981	0.07338647
29.00000000	0.08850477	0.08235626	0.06448270	0.05581724	0.05250736	0.06401461	0.07361219	0.08842094	0.15516020	0.11819036	0.04010431	0.05576015	0.06176064
30.00000000	0.08803667	0.08138509	0.06277226	0.05328287	0.04951631	0.06125648	0.07075583	0.08579249	0.15499952	0.10826579	0.03068805	0.05114874	0.05828796
31.00000000	0.08957293	0.08332702	0.06560534	0.05618829	0.05249964	0.06336030	0.07201807	0.08617694	0.15092490	0.09845376	0.02770202	0.05212185	0.06016396
32.00000000	0.09414430	0.08876030	0.07270520	0.06378929	0.06022741	0.07011793	0.07808015	0.09115726	0.14994573	0.09350785	0.03130340	0.05852749	0.06649389
33.00000000	0.10021560	0.09573559	0.08087770	0.07253499	0.06944635	0.07926418	0.08763540	0.10124839	0.15798131	0.09596219	0.04024091	0.06791201	0.07534436
34.00000000	0.09462580	0.08991147	0.07359339	0.06416703	0.06069113	0.07022956	0.07851222	0.09236178	0.15107196	0.08561987	0.03568216	0.06108694	0.06786848
35.00000000	0.09329320	0.08812007	0.07126333	0.06117470	0.05745872	0.06777626	0.07655128	0.09136727	0.15292601	0.07996106	0.03552349	0.05875600	0.06484491
36.00000000	0.09418626	0.08919483	0.07255804	0.06245644	0.05884131	0.06895159	0.07771200	0.09244549	0.15243824	0.07813343	0.03904614	0.06021658	0.06624370
37.00000000	0.09708689	0.09257955	0.07747999	0.06798987	0.06472045	0.07433911	0.08261232	0.09642893	0.15057779	0.07943184	0.04450149	0.06504411	0.07103750
38.00000000	0.09874876	0.09485298	0.08065187	0.07172164	0.06898246	0.07788901	0.08589413	0.09938434	0.14984908	0.08106076	0.04776040	0.06796760	0.07474378
39.00000000	0.09228528	0.08801178	0.07312018	0.06365049	0.06078038	0.06898466	0.07633112	0.08927096	0.13816836	0.07220566	0.04016673	0.05939245	0.06653810
40.00000000	0.09496955	0.09038961	0.07541721	0.06567735	0.06275345	0.07177512	0.07983404	0.09382427	0.14430717	0.07342477	0.04468120	0.06272373	0.06848050
41.00000000	0.09698541	0.09258971	0.07738154	0.06751548	0.06451556	0.07362436	0.08209727	0.09652568	0.14723788	0.07462054	0.04986143	0.06606816	0.07068429
42.00000000	0.09516039	0.09085908	0.07543449	0.06521549	0.06162173	0.06998621	0.07785817	0.09133035	0.13876466	0.07073385	0.04702297	0.06314095	0.06731054
43.00000000	0.09729150	0.09317297	0.07794090	0.06756769	0.06363795	0.07159749	0.07916189	0.09216749	0.13654981	0.07146986	0.04617430	0.06372015	0.06849202
44.00000000	0.09815414	0.09426327	0.07953403	0.06942268	0.06578329	0.07375921	0.08157111	0.09494524	0.13812619	0.07175821	0.04381531	0.06378988	0.06980273
45.00000000	0.10160110	0.09791553	0.08372631	0.07387192	0.07063246	0.07894724	0.08732980	0.10145827	0.14435148	0.07486690	0.04561349	0.06789709	0.07421554
46.00000000	0.10338439	0.09995293	0.08593610	0.07618870	0.07320994	0.08101283	0.08933543	0.10329133	0.14451067	0.07654272	0.04591380	0.06927416	0.07649015
47.00000000	0.10057863	0.09718498	0.08285659	0.07266902	0.06940155	0.07575439	0.08297482	0.09566564	0.13314185	0.07182594	0.03307418	0.06110690	0.07114916
48.00000000	0.10132585	0.09793584	0.08368768	0.07292468	0.06911854	0.07401917	0.07998159	0.09145204	0.12446025	0.07045247	0.01827582	0.05371504	0.06803338
49.00000000	0.10799010	0.10505257	0.09167737	0.08094002	0.07730839	0.08158550	0.08747388	0.09896181	0.12907441	0.07601981	0.01858941	0.05827938	0.07396400
50.00000000	0.11139031	0.10900014	0.09613632	0.08549896	0.08257763	0.08635266	0.09252688	0.10440876	0.13306196	0.07854159	0.03001174	0.06721601	0.08026076
51.00000000	0.10882140	0.10633035	0.09280284	0.08166819	0.07911464	0.08210289	0.08810289	0.09965580	0.12699524	0.07465492	0.04852921	0.07463081	0.08007992
52.00000000	0.10621421	0.10342223	0.08941001	0.07791420	0.07562156	0.07835308	0.08419349	0.09540456	0.12017887	0.07170913	0.07049400	0.08317869	0.08003653
53.00000000	0.10860052	0.10580443	0.09206980	0.08078162	0.07888191	0.08195084	0.08824825	0.09985035	0.12201439	0.07571594	0.09072033	0.09366007	0.08509161
